index,season,player,team,innings,runs,balls,strike_rate,dismissals,average
21996,2018,M Ashwin,Royal Challengers Bangalore,1,1,2,50.0,1.0,1.0
22091,2018,DR Shorey,Chennai Super Kings,1,8,9,88.89,1.0,8.0
22243,2018,NV Ojha,Delhi Daredevils,1,1,4,25.0,1.0,1.0
23002,2018,B Kumar,Sunrisers Hyderabad,4,13,16,81.25,2.0,6.5
23066,2018,MM Ali,Royal Challengers Bangalore,4,77,46,167.39,4.0,19.25
23274,2018,AD Nath,Kings XI Punjab,1,9,13,69.23,1.0,9.0
23599,2018,M Prasidh Krishna,Kolkata Knight Riders,1,1,5,20.0,0.0,1.0
23655,2018,HV Patel,Delhi Daredevils,2,60,33,181.82,1.0,60.0
24042,2018,P Chopra,Rajasthan Royals,1,8,6,133.33,1.0,8.0
24217,2018,JPR Scantlebury-Searles,Kolkata Knight Riders,2,8,6,133.33,1.0,8.0
24440,2018,Abhishek Sharma,Delhi Daredevils,3,63,33,190.91,1.0,63.0
25302,2018,IS Sodhi,Rajasthan Royals,1,1,6,16.67,1.0,1.0
25326,2018,Anureet Singh,Rajasthan Royals,1,3,4,75.0,0.0,3.0
26417,2018,YS Chahal,Royal Challengers Bangalore,1,0,4,0.0,0.0,0.0
26433,2018,SP Goswami,Sunrisers Hyderabad,3,52,39,133.33,3.0,17.33
26530,2018,CR Brathwaite,Sunrisers Hyderabad,4,75,48,156.25,3.0,25.0
27407,2018,SN Thakur,Chennai Super Kings,1,15,5,300.0,0.0,15.0
28148,2019,V Kohli,Royal Challengers Bangalore,14,464,327,141.9,14.0,33.14
28149,2019,PA Patel,Royal Challengers Bangalore,14,373,266,140.23,14.0,26.64
28170,2019,MM Ali,Royal Challengers Bangalore,10,220,133,165.41,8.0,27.5
28181,2019,AB de Villiers,Royal Challengers Bangalore,13,442,287,154.01,10.0,44.2
28195,2019,SO Hetmyer,Royal Challengers Bangalore,5,90,73,123.29,5.0,18.0
28198,2019,S Dube,Royal Challengers Bangalore,4,40,33,121.21,3.0,13.33
28205,2019,C de Grandhomme,Royal Challengers Bangalore,4,46,49,93.88,3.0,15.33
28212,2019,Navdeep Saini,Royal Challengers Bangalore,2,2,4,50.0,1.0,2.0
28216,2019,YS Chahal,Royal Challengers Bangalore,3,6,16,37.5,2.0,3.0
28231,2019,UT Yadav,Royal Challengers Bangalore,5,25,25,100.0,2.0,12.5
28250,2019,Mohammed Siraj,Royal Challengers Bangalore,3,4,12,33.33,1.0,4.0
28252,2019,SR Watson,Chennai Super Kings,17,398,312,127.56,17.0,23.41
28258,2019,AT Rayudu,Chennai Super Kings,17,282,302,93.38,12.0,23.5
28265,2019,SK Raina,Chennai Super Kings,17,383,313,122.36,16.0,23.94
28309,2019,KM Jadhav,Chennai Super Kings,12,162,167,97.01,9.0,18.0
28340,2019,RA Jadeja,Chennai Super Kings,9,106,88,120.45,3.0,35.33
28362,2019,DA Warner,Sunrisers Hyderabad,12,692,481,143.87,10.0,69.2
28368,2019,JM Bairstow,Sunrisers Hyderabad,10,445,282,157.8,8.0,55.62
28442,2019,V Shankar,Sunrisers Hyderabad,14,244,193,126.42,12.0,20.33
28462,2019,YK Pathan,Sunrisers Hyderabad,7,40,45,88.89,3.0,13.33
28470,2019,MK Pandey,Sunrisers Hyderabad,11,345,264,130.68,9.0,38.33
28485,2019,CA Lynn,Kolkata Knight Riders,13,405,288,140.62,13.0,31.15
28490,2019,N Rana,Kolkata Knight Riders,11,344,235,146.38,10.0,34.4
28501,2019,RV Uthappa,Kolkata Knight Riders,11,284,247,114.98,9.0,31.56
28555,2019,KD Karthik,Kolkata Knight Riders,12,254,175,145.14,8.0,31.75
28562,2019,AD Russell,Kolkata Knight Riders,13,514,249,206.43,10.0,51.4
28580,2019,Shubman Gill,Kolkata Knight Riders,13,296,239,123.85,9.0,32.89
28606,2019,PP Shaw,Delhi Capitals,16,353,264,133.71,16.0,22.06
28607,2019,S Dhawan,Delhi Capitals,16,521,385,135.32,15.0,34.73
28616,2019,SS Iyer,Delhi Capitals,16,467,387,120.67,16.0,29.19
28630,2019,CA Ingram,Delhi Capitals,12,184,154,119.48,10.0,18.4
28686,2019,RR Pant,Delhi Capitals,16,494,303,163.04,13.0,38.0
28699,2019,KMA Paul,Delhi Capitals,5,18,24,75.0,5.0,3.6
28711,2019,AR Patel,Delhi Capitals,12,110,87,126.44,6.0,18.33
28718,2019,R Tewatia,Delhi Capitals,4,26,22,118.18,1.0,26.0
28730,2019,RG Sharma,Mumbai Indians,15,405,314,128.98,14.0,28.93
28731,2019,Q de Kock,Mumbai Indians,16,529,396,133.59,15.0,35.27
28751,2019,SA Yadav,Mumbai Indians,15,424,324,130.86,13.0,32.62
28765,2019,KA Pollard,Mumbai Indians,12,281,177,158.76,8.0,35.12
28769,2019,Yuvraj Singh,Mumbai Indians,4,98,76,128.95,4.0,24.5
28797,2019,HH Pandya,Mumbai Indians,15,409,211,193.84,9.0,45.44
28799,2019,KH Pandya,Mumbai Indians,14,183,150,122.0,11.0,16.64
28824,2019,BCJ Cutting,Mumbai Indians,3,18,17,105.88,2.0,9.0
28832,2019,MJ McClenaghan,Mumbai Indians,4,11,16,68.75,3.0,3.67
28845,2019,Rasikh Salam,Mumbai Indians,1,5,4,125.0,0.0,5.0
28852,2019,KL Rahul,Kings XI Punjab,14,593,439,135.08,11.0,53.91
